end,start,tweet_count,keyword
2023-02-10,2023-02-09,39263,singer
2023-02-11,2023-02-10,45194,singer
2023-02-12,2023-02-11,52967,singer
2023-02-13,2023-02-12,52831,singer
2023-02-14,2023-02-13,53592,singer
2023-02-14,2023-02-14,39216,singer
2023-02-10,2023-02-09,73091,singing
2023-02-11,2023-02-10,99929,singing
2023-02-12,2023-02-11,109453,singing
2023-02-13,2023-02-12,113109,singing
2023-02-14,2023-02-13,108264,singing
2023-02-14,2023-02-14,77591,singing
2023-02-10,2023-02-09,2,singleandreadytomingle
2023-02-11,2023-02-10,0,singleandreadytomingle
2023-02-12,2023-02-11,1,singleandreadytomingle
2023-02-13,2023-02-12,2,singleandreadytomingle
2023-02-14,2023-02-13,1,singleandreadytomingle
2023-02-14,2023-02-14,27,singleandreadytomingle
2023-02-10,2023-02-09,0,singlereadytomingle
2023-02-11,2023-02-10,1,singlereadytomingle
2023-02-12,2023-02-11,1,singlereadytomingle
2023-02-13,2023-02-12,2,singlereadytomingle
2023-02-14,2023-02-13,1,singlereadytomingle
2023-02-14,2023-02-14,0,singlereadytomingle
2023-02-10,2023-02-09,0,singtohim
2023-02-11,2023-02-10,0,singtohim
2023-02-12,2023-02-11,0,singtohim
2023-02-13,2023-02-12,0,singtohim
2023-02-14,2023-02-13,0,singtohim
2023-02-14,2023-02-14,0,singtohim
2023-02-10,2023-02-09,2411,singularity
2023-02-11,2023-02-10,2236,singularity
2023-02-12,2023-02-11,2982,singularity
2023-02-13,2023-02-12,2666,singularity
2023-02-14,2023-02-13,1749,singularity
2023-02-14,2023-02-14,1696,singularity
2023-02-10,2023-02-09,6,sippycup
2023-02-11,2023-02-10,4,sippycup
2023-02-12,2023-02-11,5,sippycup
2023-02-13,2023-02-12,2,sippycup
2023-02-14,2023-02-13,4,sippycup
2023-02-14,2023-02-14,2,sippycup
2023-02-10,2023-02-09,0,sittingonremote
2023-02-11,2023-02-10,0,sittingonremote
2023-02-12,2023-02-11,0,sittingonremote
2023-02-13,2023-02-12,0,sittingonremote
2023-02-14,2023-02-13,0,sittingonremote
2023-02-14,2023-02-14,0,sittingonremote
2023-02-10,2023-02-09,0,sixdegreesofbud
2023-02-11,2023-02-10,0,sixdegreesofbud
2023-02-12,2023-02-11,0,sixdegreesofbud
2023-02-13,2023-02-12,1,sixdegreesofbud
2023-02-14,2023-02-13,0,sixdegreesofbud
2023-02-14,2023-02-14,0,sixdegreesofbud
2023-02-10,2023-02-09,0,sixdegreesofbudweiser
2023-02-11,2023-02-10,0,sixdegreesofbudweiser
2023-02-12,2023-02-11,0,sixdegreesofbudweiser
2023-02-13,2023-02-12,0,sixdegreesofbudweiser
2023-02-14,2023-02-13,0,sixdegreesofbudweiser
2023-02-14,2023-02-14,0,sixdegreesofbudweiser
2023-02-10,2023-02-09,0,sixpackaway
2023-02-11,2023-02-10,0,sixpackaway
2023-02-12,2023-02-11,0,sixpackaway
2023-02-13,2023-02-12,0,sixpackaway
2023-02-14,2023-02-13,0,sixpackaway
2023-02-14,2023-02-14,0,sixpackaway
2023-02-10,2023-02-09,0,sixsignaturefavours
2023-02-11,2023-02-10,0,sixsignaturefavours
2023-02-12,2023-02-11,0,sixsignaturefavours
2023-02-13,2023-02-12,0,sixsignaturefavours
2023-02-14,2023-02-13,0,sixsignaturefavours
2023-02-14,2023-02-14,0,sixsignaturefavours
2023-02-10,2023-02-09,1569,skechers
2023-02-11,2023-02-10,1534,skechers
2023-02-12,2023-02-11,2129,skechers
2023-02-13,2023-02-12,1729,skechers
2023-02-14,2023-02-13,3535,skechers
2023-02-14,2023-02-14,1385,skechers
2023-02-10,2023-02-09,0,skechershandsfreeslipins
2023-02-11,2023-02-10,0,skechershandsfreeslipins
2023-02-12,2023-02-11,0,skechershandsfreeslipins
2023-02-13,2023-02-12,0,skechershandsfreeslipins
2023-02-14,2023-02-13,0,skechershandsfreeslipins
2023-02-14,2023-02-14,0,skechershandsfreeslipins
2023-02-10,2023-02-09,0,skechersslipins
2023-02-11,2023-02-10,0,skechersslipins
2023-02-12,2023-02-11,0,skechersslipins
2023-02-13,2023-02-12,0,skechersslipins
2023-02-14,2023-02-13,0,skechersslipins
2023-02-14,2023-02-14,0,skechersslipins
2023-02-10,2023-02-09,0,skecherusa
2023-02-11,2023-02-10,0,skecherusa
2023-02-12,2023-02-11,0,skecherusa
2023-02-13,2023-02-12,0,skecherusa
2023-02-14,2023-02-13,0,skecherusa
2023-02-14,2023-02-14,0,skecherusa
2023-02-10,2023-02-09,103,sketchers
2023-02-11,2023-02-10,187,sketchers
2023-02-12,2023-02-11,178,sketchers
2023-02-13,2023-02-12,279,sketchers
2023-02-14,2023-02-13,2208,sketchers
2023-02-14,2023-02-14,251,sketchers
2023-02-10,2023-02-09,0,sketchersallwalksoflife
2023-02-11,2023-02-10,0,sketchersallwalksoflife
2023-02-12,2023-02-11,0,sketchersallwalksoflife
2023-02-13,2023-02-12,0,sketchersallwalksoflife
2023-02-14,2023-02-13,0,sketchersallwalksoflife
2023-02-14,2023-02-14,0,sketchersallwalksoflife
2023-02-10,2023-02-09,0,sketchersbiggame
2023-02-11,2023-02-10,0,sketchersbiggame
2023-02-12,2023-02-11,0,sketchersbiggame
2023-02-13,2023-02-12,0,sketchersbiggame
2023-02-14,2023-02-13,0,sketchersbiggame
2023-02-14,2023-02-14,0,sketchersbiggame
2023-02-10,2023-02-09,0,sketchersslipin
2023-02-11,2023-02-10,0,sketchersslipin
2023-02-12,2023-02-11,0,sketchersslipin
2023-02-13,2023-02-12,0,sketchersslipin
2023-02-14,2023-02-13,0,sketchersslipin
2023-02-14,2023-02-14,0,sketchersslipin
2023-02-10,2023-02-09,0,sketchersslipins
2023-02-11,2023-02-10,0,sketchersslipins
2023-02-12,2023-02-11,0,sketchersslipins
2023-02-13,2023-02-12,0,sketchersslipins
2023-02-14,2023-02-13,0,sketchersslipins
2023-02-14,2023-02-14,0,sketchersslipins
2023-02-10,2023-02-09,0,sketchersxsnoopdog
2023-02-11,2023-02-10,0,sketchersxsnoopdog
2023-02-12,2023-02-11,0,sketchersxsnoopdog
2023-02-13,2023-02-12,0,sketchersxsnoopdog
2023-02-14,2023-02-13,0,sketchersxsnoopdog
